dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUDT-SIRST,000541,1,1,1,0.5755212903,0.6631445885,0.7538267374,0.7538267374,4.750878334,5.921245098,3.619522095,nan,3.619522095,nan,1,0
NUDT-SIRST,000541,2,1,1,0.876508534,0.8554248214,0.8053789735,0.8048041463,1.566957474,2.985258341,4.045897484,1.147243619,3.700662374,0.08877456188,1,0
NUDT-SIRST,000541,3,1,0,0.7607173324,0.714150548,0.6505075693,0.6216813922,0.7001437545,1.138665915,1.366634369,0.9357950091,1.218121529,-0.03584814072,1,0
NUDT-SIRST,000541,4,1,0,0.6971310973,0.5632501245,0.4929936528,0.4655691087,1.255573511,1.19662416,0.7743237019,1.108564615,0.7920849323,0.06175667048,1,0
NUDT-SIRST,000832,1,1,1,0.6204429269,0.6308460832,0.6605065465,0.6605065465,2.643873215,9.218109131,5.163989067,nan,5.163989067,nan,0.8999999762,0
NUDT-SIRST,000832,2,1,1,0.8214200139,0.802369535,0.7163699865,0.7210763097,5.327399731,4.901202679,4.866037846,1.2439394,4.358911991,0.1444481015,0.8999999762,0
NUDT-SIRST,000832,3,1,0,0.6765903831,0.5562034845,0.4902001619,0.4518378079,0.9722706676,0.8883741498,1.453118801,1.069073915,1.332608461,0.03212377429,0.8999999762,0
NUDT-SIRST,000832,4,1,0,0.6193994284,0.4622736275,0.4214208424,0.3838427961,0.9800161719,0.9284206033,1.025627136,1.010536075,1.030545115,0.005917847157,0.8999999762,0
NUDT-SIRST,000710,1,1,1,0.5674130321,0.5873214006,0.655742228,0.655742228,4.936969757,12.24090767,7.200774193,nan,7.200774193,nan,0.9056603909,0
NUDT-SIRST,000710,2,1,1,0.8248850107,0.799688518,0.7313116789,0.7443237901,5.48949194,6.300494671,7.272464275,1.25454855,6.936455727,0.1583436728,0.9056603909,0
NUDT-SIRST,000710,3,1,0,0.7307510972,0.6996281743,0.6791257858,0.6596422195,0.751111567,1.02180934,1.329314232,1.043248415,1.19375062,0.02192693949,0.9056603909,0
NUDT-SIRST,000710,4,1,0,0.6392545104,0.5664218068,0.4362193942,0.4243797064,0.8820406795,1.079316139,0.8846535087,1.092721581,0.9108793139,0.05565696955,0.9056603909,0
NUDT-SIRST,000316,1,1,1,0.5348622799,0.6197402477,0.6789982915,0.6789982915,3.81002593,10.87028885,9.476761818,nan,9.476761818,nan,0.9551281929,0
NUDT-SIRST,000316,2,1,1,0.7926108241,0.7650859952,0.6726451516,0.6866336465,2.324344873,3.142555237,4.807579517,1.257363439,4.868348122,0.155066967,0.9551281929,0
NUDT-SIRST,000316,3,1,0,0.653795898,0.7210368514,0.8220729828,0.8296376467,0.7138985395,1.750258327,3.40911603,0.9574695826,3.455180168,-0.02268362045,0.9551281929,0
NUDT-SIRST,000316,4,1,0,0.6351299882,0.6631066203,0.7070345283,0.5568495393,0.8300727606,1.696271181,2.120767117,0.8473131657,1.493642449,-0.0919418931,0.9551281929,0
NUDT-SIRST,001142,1,1,1,0.6533538103,0.7592415214,0.8226467967,0.8226467967,2.428296328,6.55092144,4.051222324,nan,4.051222324,nan,1,0
NUDT-SIRST,001142,2,1,1,0.7358090878,0.7456734776,0.7387427092,0.7287932634,3.115767717,3.517490864,4.733698845,1.132393956,4.291934967,0.08160156012,1,0
NUDT-SIRST,001142,3,1,0,0.5906665325,0.5717107058,0.5805522799,0.5654273033,0.3644397557,0.5662564635,1.183351755,1.049466848,1.14191556,0.02513921261,1,0
NUDT-SIRST,001142,4,1,0,0.7671380639,0.6919026375,0.6889464855,0.6898823977,0.8991479874,0.7427181005,0.8604097366,1.117996454,0.8894894719,0.06464767456,1,0
NUDT-SIRST,000409,1,1,1,0.5437498093,0.6228092909,0.6982905865,0.6982905865,5.948372841,11.17596912,6.855237961,nan,6.855237961,nan,0.9696969986,0
NUDT-SIRST,000409,2,1,1,0.8221214414,0.8051176071,0.7593173981,0.7641881108,4.456291676,5.650430679,6.166611671,1.234221101,5.940264225,0.1414474845,0.9696969986,0
NUDT-SIRST,000409,3,1,0,0.6934731007,0.6876301765,0.766797781,0.7738780379,0.654088974,1.309671521,2.323667288,1.066410899,2.317638397,0.03490483761,0.9696969986,0
NUDT-SIRST,000409,4,1,0,0.6769422293,0.5766049623,0.471973747,0.4646780789,0.9770065546,0.9931461215,0.9151520729,1.093756676,0.9376091361,0.05534058809,0.9696969986,0
NUDT-SIRST,000226,1,1,1,0.5581683517,0.6521854401,0.7384626865,0.7384626865,2.341135979,3.604606867,2.399505377,nan,2.399505377,nan,0.9571428299,0
NUDT-SIRST,000226,2,1,1,0.7941313982,0.7637505531,0.7135562897,0.713811934,5.895822525,5.123616219,4.620256424,1.153465986,4.127220154,0.0969722271,0.9571428299,0
NUDT-SIRST,000226,3,1,0,0.5946345925,0.6711050272,0.7110399008,0.7123570442,0.9077119231,1.682016253,1.949464917,0.8886713982,1.849302649,-0.06955254078,0.9571428299,0
NUDT-SIRST,000226,4,1,0,0.2271727026,0.3630174696,0.3632448614,0.3451938033,1.047626615,1.104726791,1.036342502,1.032117486,1.022429943,0.01622563601,0.9571428299,0
NUDT-SIRST,001133,1,1,1,0.6480407715,0.7975954413,0.8689391613,0.8689391613,2.551095009,3.354626417,1.8169204,nan,1.8169204,nan,1,0
NUDT-SIRST,001133,2,1,1,0.8549241424,0.8239251375,0.7920799255,0.7820104957,2.252160549,2.589100122,3.709616184,1.279012561,3.380593777,0.1574731469,1,0
NUDT-SIRST,001133,3,1,0,0.6029288173,0.5450245142,0.5574087501,0.4807346761,0.7008525729,1.003858805,1.375697255,0.8444647789,1.18508637,-0.09453833103,1,0
NUDT-SIRST,001133,4,1,0,0.2078750879,0.2289984077,0.3492469192,0.3186255693,0.988466382,0.9293078184,1.052913785,1.009783745,1.055379868,0.004888385534,1,0
NUDT-SIRST,001255,1,1,1,0.517565012,0.6664140224,0.7565988898,0.7565988898,4.184249401,4.817802429,4.06844902,nan,4.06844902,nan,0.8607594967,0
NUDT-SIRST,001255,2,1,1,0.8418573737,0.817475915,0.7849202752,0.790563345,1.523154259,2.378539562,3.042727947,1.204721808,2.996015072,0.1257156134,0.8607594967,0
NUDT-SIRST,001255,3,1,0,0.596429944,0.7528000474,0.8291820288,0.8315606713,0.9627599716,1.903889894,3.064500809,1.019218326,2.965020418,0.0109910965,0.8607594967,0
NUDT-SIRST,001255,4,1,0,0.5213004947,0.4957307279,0.3978705704,0.3839847147,0.989726603,1.111189127,0.9321032763,0.987516582,0.9478417039,-0.006425738335,0.8607594967,0
NUDT-SIRST,000558,1,1,1,0.5598490834,0.6543905139,0.7179238796,0.7179238796,6.770633221,10.84378433,10.25279808,nan,10.25279808,nan,0.9032257795,0
NUDT-SIRST,000558,2,1,1,0.8349600434,0.8187490106,0.7736816406,0.7785559893,1.664999127,3.46374774,5.551038742,1.222631574,5.432719231,0.1332082152,0.9032257795,0
NUDT-SIRST,000558,3,1,0,0.727961421,0.7537077665,0.7752640247,0.776319921,0.7086859345,2.240287781,3.015645266,0.8963819742,2.919288635,-0.06047028303,0.9032257795,0
NUDT-SIRST,000558,4,1,0,0.3570203781,0.4391587079,0.4943574965,0.4704754055,1.076445103,1.24874568,1.046285987,1.05414784,1.059956193,0.02749037743,0.9032257795,0
NUDT-SIRST,001000,1,1,1,0.5102686882,0.5947931409,0.7000849843,0.7000849843,1.201114893,1.607978702,1.499716163,nan,1.499716163,nan,0.6730769277,0
NUDT-SIRST,001000,2,1,1,0.7730557323,0.7157760262,0.7430644035,0.7430772781,1.123267055,1.107501507,1.682472944,1.240203619,1.56620717,0.1272445917,0.6730769277,0
NUDT-SIRST,001000,3,1,0,0.4973257482,0.5030300021,0.5385753512,0.4414574504,0.8588457704,0.9429709911,1.356500268,1.028637528,1.237831116,0.01761043072,0.6730769277,0
NUDT-SIRST,001000,4,1,0,0.1809259951,0.2641853988,0.2810654938,0.2755584419,0.9931975007,1.029622316,0.9040448666,1.015309215,0.912525177,0.007625520229,0.6730769277,0
NUDT-SIRST,000763,1,1,1,0.5445193648,0.6787313223,0.7663203478,0.7663203478,4.797671795,7.702630043,5.938924789,nan,5.938924789,nan,0.6666666865,0
NUDT-SIRST,000763,2,1,1,0.8191457391,0.7870520353,0.7619428635,0.7663219571,1.297446609,2.771401644,3.224949837,1.183300257,3.246573687,0.1106185913,0.6666666865,0
NUDT-SIRST,000763,3,1,0,0.6369157434,0.6286417246,0.6061652899,0.5909749866,0.4683561325,0.8239344954,0.9934344888,1.129792333,0.9651578665,0.0722873807,0.6666666865,0
NUDT-SIRST,000763,4,1,0,0.6015939116,0.5255815387,0.4371078312,0.429549396,0.7330701351,0.9392156005,0.8974295259,0.9619058371,0.9077838063,-0.02229630947,0.6666666865,0
NUDT-SIRST,000385,1,1,1,0.623290956,0.754912734,0.8125009537,0.8125009537,5.875770569,11.36748886,7.105946064,nan,7.105946064,nan,1,0
NUDT-SIRST,000385,2,1,1,0.8456542492,0.8284674287,0.7965592742,0.7849151492,3.156940699,4.756993771,6.331438065,1.070063472,5.178293705,0.04323518276,1,0
NUDT-SIRST,000385,3,1,0,0.740580678,0.7039834261,0.5965964794,0.5682780743,0.6708586812,1.009828091,1.129230142,0.8842729926,1.005070448,-0.06795847416,1,0
NUDT-SIRST,000385,4,1,0,0.5377004147,0.4638615847,0.4808707535,0.4582415819,0.9910399318,0.9657037854,0.939971149,0.9588986635,0.9488312602,-0.02144682407,1,0
NUDT-SIRST,001319,1,1,1,0.5815019608,0.7550444603,0.8420996666,0.8420996666,4.458364964,4.695514679,3.957208157,nan,3.957208157,nan,0.8648648858,0
NUDT-SIRST,001319,2,1,1,0.8453910351,0.8254519701,0.7814328671,0.7880977988,1.160630703,2.44351244,4.4376297,1.131843805,3.865784407,0.08040827513,0.8648648858,0
NUDT-SIRST,001319,3,1,0,0.4536210597,0.5540196896,0.5427696109,0.4539151192,0.7482475638,1.304590702,1.782115817,0.8407563567,1.430272698,-0.09706288576,0.8648648858,0
NUDT-SIRST,001319,4,1,0,0.2552552819,0.2817026377,0.2772836387,0.273496151,1.04637897,0.9782301784,0.9679851532,1.044080734,0.9646417499,0.02188649774,0.8648648858,0
NUDT-SIRST,000591,1,1,1,0.5678076744,0.7077018023,0.7913022637,0.7913022637,4.685530186,5.248599052,4.45813036,nan,4.45813036,nan,0.8666666746,0
NUDT-SIRST,000591,2,1,1,0.8498072624,0.8287568688,0.7776514292,0.7794002295,1.070097089,2.441158772,4.516490459,1.218445301,4.145610332,0.1300595999,0.8666666746,0
NUDT-SIRST,000591,3,1,0,0.4855967164,0.5895016193,0.7543212175,0.7512665987,0.6714081764,1.46276021,2.37310338,0.9618637562,2.218824863,-0.02294421196,0.8666666746,0
NUDT-SIRST,000591,4,1,0,0.2365641892,0.2877989113,0.2997372448,0.2970413268,0.8972945809,1.051418662,0.8916344047,1.048328876,0.8938986063,0.02388522029,0.8666666746,0
NUDT-SIRST,000484,1,1,1,0.6326315999,0.6960926056,0.7767970562,0.7767970562,2.900173187,4.030880928,3.434168577,nan,3.434168577,nan,0.8714285493,0
NUDT-SIRST,000484,2,1,1,0.8613284826,0.843290329,0.7888836861,0.7893138528,2.282488108,2.753911734,2.978974104,1.197233558,2.887906551,0.1206332445,0.8714285493,0
NUDT-SIRST,000484,3,1,0,0.7335891128,0.7401058674,0.6116423607,0.5724188685,0.8026279211,1.493397117,1.579346776,0.874125123,1.368344665,-0.07479649782,0.8714285493,0
NUDT-SIRST,000484,4,1,0,0.2818806767,0.4310581088,0.4450382292,0.4263492525,1.095994353,1.29226923,0.9785821438,1.082702994,0.9687607884,0.04163074493,0.8714285493,0
NUDT-SIRST,001236,1,1,1,0.6446239352,0.698335886,0.7580976486,0.7580976486,2.253402472,5.709506035,2.855030537,nan,2.855030537,nan,0.8181818128,0
NUDT-SIRST,001236,2,1,1,0.8556441665,0.8282322884,0.7930530906,0.7966256738,3.962378502,4.084616184,3.632572174,1.228150725,3.5793612,0.1349182129,0.8181818128,0
NUDT-SIRST,001236,3,1,0,0.7530170083,0.7427470684,0.6416841149,0.6214896441,0.6905987263,0.9342592359,1.135887265,0.8671291471,1.049767494,-0.07688570023,0.8181818128,0
NUDT-SIRST,001236,4,1,0,0.3665238917,0.4313494265,0.5570387244,0.5349757671,1.082133889,1.03927958,0.8612270951,0.9956617951,0.8686258793,-0.002237260342,0.8181818128,0
NUDT-SIRST,000334,1,1,1,0.6334225535,0.7430499196,0.8147447109,0.8147447109,5.34061861,9.458649635,6.164594173,nan,6.164594173,nan,1,0
NUDT-SIRST,000334,2,1,1,0.8669907451,0.8506651521,0.8114795089,0.805421412,2.457841635,4.454077244,4.405029297,1.074863076,3.727732658,0.04639559984,1,0
NUDT-SIRST,000334,3,1,0,0.7679201365,0.7545172572,0.6085503697,0.5699762702,0.7096390724,0.9040200114,1.073810101,0.9807533026,0.9568260908,-0.01140367985,1,0
NUDT-SIRST,000334,4,1,0,0.3283387125,0.3245369494,0.4541669786,0.430535078,0.941575408,0.9587990046,0.9872844219,0.9771135449,1.00051713,-0.01169374585,1,0
NUDT-SIRST,000915,1,1,1,0.5216459632,0.602686584,0.7044788003,0.7044788003,2.097246408,4.147757053,2.452013016,nan,2.452013016,nan,0.9076923132,0
NUDT-SIRST,000915,2,1,1,0.8187305927,0.7786115408,0.710801065,0.7192870975,3.224138975,3.257879496,3.302485943,1.215026021,3.31770277,0.1372522116,0.9076923132,0
NUDT-SIRST,000915,3,1,0,0.7221062183,0.6885381341,0.6709547043,0.6716604233,0.5980371833,1.153448701,2.132406235,0.906157136,2.005687475,-0.0531437993,0.9076923132,0
NUDT-SIRST,000915,4,1,0,0.5935640931,0.5720553398,0.5916099548,0.4547436237,0.7164456844,1.315588355,1.710744023,0.8445540071,1.26650846,-0.09341281652,0.9076923132,0
NUDT-SIRST,000523,1,1,1,0.6067256927,0.7625271082,0.8460892439,0.8460892439,1.640534043,1.629328132,1.690184832,nan,1.690184832,nan,0.5487805009,0
NUDT-SIRST,000523,2,1,1,0.890491724,0.8550484776,0.8173636794,0.819848597,0.7805274129,0.9521540999,1.327901363,1.24567461,1.342558503,0.1375492215,0.5487805009,0
NUDT-SIRST,000523,3,1,0,0.4866074622,0.510309577,0.6567550898,0.611995101,0.7428462505,0.9952446222,1.435198426,1.034522295,1.388562322,0.02005892992,0.5487805009,0
NUDT-SIRST,000523,4,1,0,0.2400051057,0.2349093407,0.3193235397,0.3175948262,0.9872976542,1.01933825,1.059861302,0.9950014949,1.059853554,-0.002453058958,0.5487805009,0
NUDT-SIRST,000765,1,1,1,0.5973892212,0.639518261,0.657800436,0.657800436,2.190250874,8.205145836,4.211904049,nan,4.211904049,nan,1,0
NUDT-SIRST,000765,2,1,1,0.8057620525,0.7766030431,0.7076736093,0.7126325369,4.91988802,4.586999893,6.625430584,1.321133018,6.051287174,0.1914794445,1,0
NUDT-SIRST,000765,3,1,0,0.6717122197,0.559224546,0.4988704026,0.4658788741,1.117128015,0.7670658231,1.343967319,1.057874084,1.259779572,0.02698478103,1,0
NUDT-SIRST,000765,4,1,0,0.6072447896,0.4158751369,0.4234114587,0.4047781229,1.060444951,1.005969048,1.036781549,0.9810858965,1.019516349,-0.01070421934,1,0
NUDT-SIRST,000215,1,1,1,0.5668807626,0.6107540131,0.6645503044,0.6645503044,2.856085539,6.936177731,4.580644608,nan,4.580644608,nan,0.8769230843,0
NUDT-SIRST,000215,2,1,1,0.7895051837,0.7591044903,0.7109897733,0.715788126,4.621169567,4.582051277,6.091767311,1.293450356,5.646352291,0.1759452224,0.8769230843,0
NUDT-SIRST,000215,3,1,0,0.6502787471,0.6429020166,0.7435492873,0.7477325201,0.4481537938,0.7983256578,1.812820911,1.022933125,1.822897315,0.01200282574,0.8769230843,0
NUDT-SIRST,000215,4,1,0,0.6745390892,0.5535510182,0.5737054348,0.5663759708,0.9375683665,0.992262423,1.009908199,1.078316092,0.9941657782,0.04492360353,0.8769230843,0
NUDT-SIRST,000045,1,1,1,0.619987011,0.7486881614,0.8241071701,0.8241071701,1.825921059,4.95742178,3.270671844,nan,3.270671844,nan,1,0
NUDT-SIRST,000045,2,1,1,0.8066884875,0.7739095688,0.709109962,0.6938412786,2.610015392,2.668738365,3.566118479,1.147384048,3.015747786,0.08482038975,1,0
NUDT-SIRST,000045,3,1,0,0.6104204655,0.5616193414,0.5817087889,0.5560427308,0.7955620289,0.9226259589,1.227153897,0.8023861647,1.181541443,-0.1151880026,1,0
NUDT-SIRST,000045,4,1,0,0.7107967734,0.6627110839,0.6924273372,0.6926631927,0.6003408432,1.044206262,0.8920443654,0.8659247756,0.8625457287,-0.08218628168,1,0
NUDT-SIRST,001303,1,1,1,0.4989497066,0.5919721127,0.6813192368,0.6813192368,12.8839941,25.79957581,20.12965775,nan,20.12965775,nan,0.8730158806,0
NUDT-SIRST,001303,2,1,1,0.829079926,0.7923583984,0.7184471488,0.7305462956,2.637450457,7.166886806,12.08056355,1.323643804,12.08916283,0.1922192574,0.8730158806,0
NUDT-SIRST,001303,3,1,0,0.6811417937,0.713863194,0.8531625867,0.8609304428,0.7210975289,3.605890512,7.742374897,0.9793943763,8.020575523,-0.01102513075,0.8730158806,0
NUDT-SIRST,001303,4,1,0,0.6978302002,0.6221048832,0.6395648122,0.6296434402,0.4157874584,1.146798491,1.060754657,1.100559831,1.077590585,0.06031996012,0.8730158806,0
NUDT-SIRST,000644,1,1,1,0.5935565829,0.6439708471,0.7040774226,0.7040774226,4.090411663,8.781555176,5.494988918,nan,5.494988918,nan,0.9714285731,0
NUDT-SIRST,000644,2,1,1,0.8341413736,0.8060148954,0.7521243691,0.7600732446,4.251871586,4.84632349,5.678723812,1.254588127,5.560907364,0.1564109921,0.9714285731,0
NUDT-SIRST,000644,3,1,0,0.7631306052,0.740844667,0.7659623623,0.7748542428,0.7393639088,1.422552705,2.094517946,1.03848362,2.103691339,0.02106302977,0.9714285731,0
NUDT-SIRST,000644,4,1,0,0.6294617653,0.5597880483,0.4760534763,0.4685145319,0.7329955101,1.177611232,0.910058558,1.054339051,0.9267808795,0.03249371052,0.9714285731,0
NUDT-SIRST,001190,1,1,1,0.6544049978,0.7327380776,0.7932658195,0.7932658195,2.163413525,6.520174503,3.995459795,nan,3.995459795,nan,0.9729729891,0
NUDT-SIRST,001190,2,1,1,0.7615379095,0.7729908824,0.7591366172,0.7504477501,3.085101604,3.433430433,4.071152687,1.143058777,3.771029234,0.08660286665,0.9729729891,0
NUDT-SIRST,001190,3,1,0,0.6758018136,0.6260675788,0.5337728262,0.5102496147,0.828772068,0.810774982,1.194167376,1.012499332,1.17467618,0.005750894547,0.9729729891,0
NUDT-SIRST,001190,4,1,0,0.7140210271,0.6615405083,0.631368041,0.6295838952,1.010581493,0.9378436208,0.9582018256,1.010706067,0.9587170482,0.00598269701,0.9729729891,0
NUDT-SIRST,001026,1,1,1,0.5969196558,0.5878773332,0.636288166,0.636288166,2.300911188,8.02564621,3.056065559,nan,3.056065559,nan,0.9215686321,0
NUDT-SIRST,001026,2,1,1,0.7742072344,0.7567569017,0.6627322435,0.6541905999,3.360315561,3.31172657,4.63732481,1.357119322,4.825781822,0.2119035125,0.9215686321,0
NUDT-SIRST,001026,3,1,0,0.6258435845,0.5712500215,0.5050171018,0.46234411,1.119092464,1.17083931,1.701680183,1.079311967,1.515272498,0.03611639142,0.9215686321,0
NUDT-SIRST,001026,4,1,0,0.5444134474,0.3726617694,0.2769828737,0.264590919,0.9589945078,1.221272111,1.01965034,1.054685831,1.011603475,0.03030151129,0.9215686321,0
NUDT-SIRST,001089,1,1,1,0.5034355521,0.5839136839,0.6920449138,0.6920449138,1.578975558,2.4315207,1.633239031,nan,1.633239031,nan,0.7906976938,0
NUDT-SIRST,001089,2,1,1,0.7868062854,0.7256048918,0.7182797194,0.7276474833,2.837317467,2.499108076,3.317198753,1.319282889,3.276237488,0.1813704371,0.7906976938,0
NUDT-SIRST,001089,3,1,0,0.7512127161,0.7153577209,0.638255477,0.6082954407,0.7582275271,1.30558002,1.896781445,0.8592880368,1.563198209,-0.08292973042,0.7906976938,0
NUDT-SIRST,001089,4,1,0,0.5045512319,0.4885049164,0.4491962194,0.431652993,0.9829206467,1.089871287,0.8385627866,1.006342888,0.8471251726,0.003228127956,0.7906976938,0
NUDT-SIRST,000720,1,1,1,0.5276762843,0.6491296887,0.7475446463,0.7475446463,1.576864362,2.988438845,1.779547572,nan,1.779547572,nan,0.6666666865,0
NUDT-SIRST,000720,2,1,1,0.8529180884,0.8080685139,0.7703672647,0.7784278393,2.574214458,2.363379478,4.384868622,1.380737066,4.463781357,0.212636888,0.6666666865,0
NUDT-SIRST,000720,3,1,0,0.5700010657,0.5833996534,0.5990956426,0.5780596137,0.4186852574,0.7729904056,1.690122128,0.9731417298,1.333479166,-0.01541340351,0.6666666865,0
NUDT-SIRST,000720,4,1,0,0.6357984543,0.580616951,0.4963814914,0.490190357,0.4928269684,0.7670000196,0.8593467474,0.9573561549,0.8724657297,-0.02491337061,0.6666666865,0
NUDT-SIRST,000195,1,1,1,0.5506169796,0.6455529928,0.7283337116,0.7283337116,2.561683893,5.182738304,3.632833004,nan,3.632833004,nan,0.8571428657,0
NUDT-SIRST,000195,2,1,1,0.7800631523,0.7500389218,0.7121272683,0.717697978,5.911202908,5.220928192,5.196818829,1.186877966,4.752947807,0.1171287894,0.8571428657,0
NUDT-SIRST,000195,3,1,0,0.7437905073,0.6941615343,0.5949645638,0.5716516376,0.7285228372,1.426815152,1.399679899,0.8764476776,1.227773309,-0.07241719961,0.8571428657,0
NUDT-SIRST,000195,4,1,0,0.3144905865,0.3701640964,0.4375354648,0.4224157333,0.970502615,0.942540884,0.9623950124,1.026175261,0.9683061242,0.01343977451,0.8571428657,0
NUDT-SIRST,000519,1,1,1,0.5639535189,0.6965478659,0.8015508056,0.8015508056,2.077941656,2.809654474,2.686131477,nan,2.686131477,nan,0.6588235497,0
NUDT-SIRST,000519,2,1,1,0.8681419492,0.8435923457,0.8292636871,0.8300153017,0.7756458521,1.14366591,1.639028668,1.265123725,1.606601357,0.1514289975,0.6588235497,0
NUDT-SIRST,000519,3,1,0,0.4993725419,0.5731808543,0.6687287688,0.6389985085,0.7007440329,0.9695739746,1.961819649,1.036125422,1.748274326,0.02139425278,0.6588235497,0
NUDT-SIRST,000519,4,1,0,0.2166077495,0.2581847906,0.2965241373,0.2919762731,0.9801276922,0.9182651639,1.159965515,1.005774617,1.15532279,0.002849161625,0.6588235497,0
NUDT-SIRST,001111,1,1,1,0.6182160974,0.6720131636,0.6908448935,0.6908448935,1.951136351,6.153643608,3.638062716,nan,3.638062716,nan,1,0
NUDT-SIRST,001111,2,1,1,0.8180723786,0.7504660487,0.7220253944,0.7074277401,3.769934416,3.715002537,5.487606049,1.286046863,4.422063351,0.1500066519,1,0
NUDT-SIRST,001111,3,1,0,0.4268188775,0.4012615085,0.4875338376,0.3680669367,0.7151495814,0.7852366567,1.347821593,0.9250981808,1.157140613,-0.04528409243,1,0
NUDT-SIRST,001111,4,1,0,0.1530115157,0.168333143,0.2301746011,0.2301788181,1.039186835,0.9642660618,1.026119232,1.012468457,1.024550319,0.006201207638,1,0
NUDT-SIRST,000922,1,1,1,0.6096661687,0.6359510422,0.6776183248,0.6776183248,1.600182056,4.719150066,2.327919722,nan,2.327919722,nan,0.7647058964,0
NUDT-SIRST,000922,2,1,1,0.8275409341,0.7833607197,0.7336269617,0.734467864,2.308467627,2.377221346,3.791135311,1.197419286,3.452881336,0.1203209758,0.7647058964,0
NUDT-SIRST,000922,3,1,0,0.6495677829,0.6269845963,0.7541767955,0.7555282712,0.7181674838,1.012301922,2.137902975,0.9977626204,2.202685595,-0.001087844372,0.7647058964,0
NUDT-SIRST,000922,4,1,0,0.6585552096,0.5739423633,0.5298385024,0.5171978474,0.8116198778,1.021798015,1.028038144,0.9676820636,1.013441086,-0.01855683327,0.7647058964,0
NUDT-SIRST,000965,1,1,1,0.5526723862,0.6051068902,0.6923297644,0.6923297644,2.398625374,5.430587292,3.401716471,nan,3.401716471,nan,0.9156626463,0
NUDT-SIRST,000965,2,1,1,0.830946207,0.7925893068,0.6873281598,0.6953167319,3.703034163,3.660556316,4.449748516,1.302960277,4.532702923,0.1820979118,0.9156626463,0
NUDT-SIRST,000965,3,1,0,0.7343412042,0.721591711,0.7640653849,0.7680804133,0.6197636724,1.204435229,2.007879257,0.9971950054,2.004827976,-0.001476883888,0.9156626463,0
NUDT-SIRST,000965,4,1,0,0.6566876769,0.6034680009,0.4954318404,0.494199723,0.4511640966,0.9198703766,1.008764982,1.069353342,1.025364995,0.04220914841,0.9156626463,0
NUDT-SIRST,000080,1,1,1,0.5962736011,0.7239259481,0.7579223514,0.7579223514,1.988817453,11.91352844,5.403820992,nan,5.403820992,nan,1,0
NUDT-SIRST,000080,2,1,1,0.6929409504,0.7196516991,0.7170758843,0.7173953056,3.039762735,3.379631281,4.488620758,1.223618031,4.551931381,0.1338868141,1,0
NUDT-SIRST,000080,3,1,0,0.6510671973,0.6199217439,0.5871155858,0.5746677518,0.5405772328,0.9163999557,1.358643293,1.001965761,1.248711348,0.0009318590164,1,0
NUDT-SIRST,000080,4,1,0,0.735357523,0.6816852093,0.6737591624,0.6714593172,1.091977358,0.8213508129,0.999489665,1.028106213,1.008449078,0.01571053267,1,0
NUDT-SIRST,000751,1,1,1,0.5546150804,0.736348927,0.8240388036,0.8240388036,3.013207674,4.44080925,3.550341606,nan,3.550341606,nan,0.555555582,0
NUDT-SIRST,000751,2,1,1,0.866445303,0.8362669945,0.8403077722,0.8381216526,1.271057963,2.150356531,3.695121527,1.120722055,3.045407534,0.07137143612,0.555555582,0
NUDT-SIRST,000751,3,1,0,0.4963410497,0.5937780738,0.5284967422,0.4838427603,0.7008551359,0.7186042666,1.288485885,0.9632374644,1.12134099,-0.02212405205,0.555555582,0
NUDT-SIRST,000751,4,1,0,0.2520397305,0.2600487471,0.3148612976,0.304942131,1.002975225,0.9511271715,0.8579852581,1.015153646,0.8558863401,0.007490456104,0.555555582,0
NUDT-SIRST,000281,1,1,1,0.5645847321,0.6757643819,0.7541163564,0.7541163564,4.281241894,6.699713707,6.3427248,nan,6.3427248,nan,0.9090909362,0
NUDT-SIRST,000281,2,1,1,0.8266606927,0.7990352511,0.6921639442,0.698476553,3.253422499,4.066655636,4.956398964,1.330005407,5.098227024,0.1979178786,0.9090909362,0
NUDT-SIRST,000281,3,1,0,0.6883921623,0.6689982414,0.6577772498,0.6190941334,0.7175890803,1.720209837,1.735106707,0.9119957685,1.530212998,-0.04699760675,0.9090909362,0
NUDT-SIRST,000281,4,1,0,0.5945166349,0.5333431363,0.3972668946,0.3788894713,0.5294131637,1.108995438,1.012094975,1.082519293,1.041111588,0.05023276806,0.9090909362,0
NUDT-SIRST,000849,1,1,1,0.5992434025,0.6020950675,0.6515761614,0.6515761614,3.51558423,9.740931511,6.311377048,nan,6.311377048,nan,0.9090909362,0
NUDT-SIRST,000849,2,1,1,0.7813996077,0.7640526295,0.6767526269,0.6790964603,5.947125912,6.024983883,7.482671261,1.283577919,6.905254841,0.1712809801,0.9090909362,0
NUDT-SIRST,000849,3,1,0,0.6150523424,0.5259887576,0.4964450002,0.4567512274,1.0949651,1.194526076,1.509474993,1.062843561,1.319983721,0.02920383215,0.9090909362,0
NUDT-SIRST,000849,4,1,0,0.6098353267,0.4564412534,0.4225056767,0.3861329854,0.8722060919,0.9819898605,1.025143623,1.08862555,1.057479858,0.04994612932,0.9090909362,0
